m:lava,-1,-5000,-5000,5000,5000,desert,255,3.360000,60000,0;
p:47,23,18,20;
1:-89,44,475,23,0.000000,0,50,upperSand,0,0,0,0,1,255,255,255,255,0,-1,0;
2:482,45,141,23,0.000000,0,50,upperSand,0,0,0,0,1,255,255,255,255,0,-1,0;
3:622,-130,456,202,0.000000,0,50,sand,0,0,0,0,1,255,255,255,255,0,-1,0;
4:-322,-176,236,440,0.000000,0,50,sand,0,0,0,0,1,255,255,255,255,0,-1,0;
5:-211,65,596,208,0.000000,0,50,sand,0,0,0,0,1,255,255,255,255,0,-1,0;
6:483,68,595,205,0.000000,0,50,sand,0,0,0,0,1,255,255,255,255,0,-1,0;
7:576,-53,48,101,-0.392699,1,50,sand,0,0,0,0,1,255,255,255,255,0,-1,0;
8:49,181,1500,294,0.000000,0,50,cobble,0,0,0,0,0,255,255,196,0,0,-1,0;
9:327,82,183,100,-0.942477,0,50,cobble,0,0,0,0,0,255,255,196,0,0,-1,0;
10:346,329,233,298,0.000000,0,50,stone,0,0,35,66,1,255,255,255,255,0,-1,0;
11:1,258,346,430,0.000000,0,50,stone,0,0,0,47,1,255,255,255,255,0,-1,0;
12:512,487,1050,126,0.000000,0,28,Lava,0,0,0,0,0,255,222,80,236,0,0,20;
13:576,450,1499,180,0.000000,0,50,stone,0,0,46,0,1,250,255,255,255,0,-1,0;
14:767,346,61,17,0.000000,0,50,stone,0,0,0,0,1,255,255,255,255,0,-1,0;
15:579,346,102,106,-1.295906,0,50,stone,0,0,47,0,1,255,255,255,255,0,-1,0;
16:658,346,55,17,0.000000,0,50,stone,0,0,0,0,1,255,255,255,255,0,-1,0;
17:875,333,38,119,0.000000,0,50,stone,0,0,0,0,1,255,255,255,255,0,-1,0;
18:966,272,36,139,0.000000,0,50,stone,0,0,0,0,1,255,255,255,255,0,-1,0;
19:1043,330,35,123,0.000000,0,50,stone,0,0,0,0,1,255,255,255,255,0,-1,0;
20:476,263,608,18,0.000000,0,50,cobble,0,0,35,66,1,255,255,255,255,0,-1,0;
21:1075,-42,1500,236,0.000000,0,50,cobble,0,0,35,66,1,255,255,255,255,0,-1,0;
22:1535,250,34,163,0.000000,0,50,stone,0,0,0,0,1,255,255,255,255,0,-1,0;
23:1418,350,118,63,-1.570795,1,50,stone,0,0,0,0,1,255,255,255,255,0,-1,0;
24:1395,339,74,15,0.000000,0,50,stone,0,0,0,0,1,255,255,255,255,0,-1,0;
25:1303,257,15,78,0.000000,0,50,stone,0,0,0,0,1,255,255,255,255,0,-1,0;
26:1346,323,14,60,0.000000,0,50,stone,0,0,0,0,1,255,255,255,255,0,-1,0;
27:1272,368,74,15,0.000000,0,50,stone,0,0,0,0,1,255,255,255,255,0,-1,0;
28:1258,322,14,60,0.000000,0,50,stone,0,0,0,0,1,255,255,255,255,0,-1,0;
29:1073,188,14,94,0.000000,0,50,cobble,0,0,35,66,1,255,255,255,255,0,-1,0;
30:1548,192,999,636,0.000000,0,50,cobble,0,0,11,0,0,255,255,196,0,0,-1,0;
31:1078,402,61,48,-1.570795,0,50,stone,0,0,0,0,1,255,255,255,255,0,-1,0;
32:1277,250,215,8,0.000000,0,50,stone,0,0,0,0,1,255,255,255,255,0,-1,0;
33:1155,245,46,113,0.000000,0,50,stone,0,0,0,0,1,255,255,255,255,0,-1,0;
34:1087,237,68,21,-0.392699,0,50,stone,0,0,0,0,1,255,255,255,255,0,-1,0;
35:1492,250,44,16,0.000000,0,50,stone,0,0,0,0,1,255,255,255,255,0,-1,0;
36:1272,322,31,8,0.000000,0,28,wood,0,0,43,17,1,255,255,255,255,0,1,27;
37:1201,288,25,25,-0.510508,0,50,stone,0,0,0,0,1,255,255,255,255,0,-1,0;
38:1305,238,40,12,0.000000,0,13,spike,0,0,0,0,0,255,255,255,255,0,-1,0;
39:1379,239,39,12,0.000000,0,13,spike,0,0,0,0,0,255,255,255,255,0,-1,0;
40:1341,425,25,25,0.000000,0,50,crate,1,0,0,0,1,255,255,255,255,0,-1,0;
41:1567,396,53,54,0.000000,0,50,crate,1,0,0,0,1,255,255,255,255,0,-1,0;
42:1545,426,24,24,0.000000,0,50,crate,1,0,0,0,1,255,255,255,255,0,-1,0;
43:1515,438,13,12,0.000000,0,50,crate,1,0,0,0,1,255,255,255,255,0,-1,0;
44:1530,438,13,12,0.000000,0,50,crate,1,0,0,0,1,255,255,255,255,0,-1,0;
45:1523,426,13,12,0.000000,0,50,crate,1,0,0,0,1,255,255,255,255,0,-1,0;
46:1569,253,310,197,0.000000,0,50,Lava,0,0,0,0,0,85,0,236,236,0,-1,0;
47:1568,253,310,197,0.000000,0,50,None,0,0,0,0,0,85,0,142,236,0,-1,0;
