m:ancient,-1,-500,-2760,500,2760,desert,88,3.690000,60000,0;
p:-401,699,18,20;
1:-501,723,1010,433,0.000000,0,50,sand,0,0,0,0,1,255,255,255,255,0,-1,0;
2:-503,567,35,58,-1.570795,0,50,sand,0,0,0,0,1,255,255,255,255,0,-1,0;
3:-297,436,5,292,0.000000,0,50,stone,0,0,0,0,0,255,255,255,255,0,-1,0;
4:-41,438,5,292,0.000000,0,50,stone,0,0,0,0,0,255,255,255,255,0,-1,0;
5:-305,425,371,20,0.000000,0,50,stone,0,0,0,0,1,255,255,255,255,0,-1,0;
6:65,424,25,21,-1.492255,0,50,stone,0,0,0,0,1,255,255,255,255,0,-1,0;
7:-330,424,25,21,-1.492255,1,50,stone,0,0,0,0,1,255,255,255,255,0,-1,0;
8:139,404,84,165,-0.392699,1,50,stone,0,0,0,0,1,255,255,255,255,0,-1,0;
9:286,404,230,319,0.000000,0,50,stone,0,0,0,0,1,255,255,255,255,0,-1,0;
10:221,509,67,60,0.000000,0,50,stone,0,0,0,80,1,255,255,255,255,0,-1,0;
11:222,404,64,60,0.000000,0,50,stone,0,0,100,75,1,255,255,255,255,0,-1,0;
12:215,458,76,61,0.000000,0,30,cobble,0,0,0,0,0,255,255,255,0,0,-1,0;
13:151,568,8,158,0.000000,0,31,wood,0,0,0,0,0,255,255,255,255,0,-1,0;
14:188,690,55,9,0.000000,0,50,stone,0,0,0,0,1,255,255,255,255,0,-1,0;
15:376,242,132,164,-0.392699,1,50,stone,0,0,0,0,1,255,255,255,255,0,-1,0;
16:353,380,25,25,-1.570795,1,50,stone,0,0,0,0,1,255,255,255,255,0,-1,0;
17:193,692,5,33,0.000000,0,31,wood,0,0,0,0,0,255,255,255,255,0,-1,0;
18:230,694,5,33,0.000000,0,31,wood,0,0,0,0,0,255,255,255,255,0,-1,0;
19:220,463,7,48,0.000000,0,31,wood,0,0,0,0,1,255,255,255,255,0,-1,0;
20:281,462,7,48,0.000000,0,31,wood,0,0,0,0,1,255,255,255,255,0,-1,0;
21:253,463,5,48,0.000000,0,31,wood,0,0,0,0,1,255,255,255,255,0,-1,0;
22:221,458,68,8,0.000000,0,31,wood,0,0,0,0,1,255,255,255,255,0,-1,0;
23:221,509,68,8,0.000000,0,31,wood,0,0,0,0,1,255,255,255,255,0,-1,0;
24:226,486,56,5,0.000000,0,31,wood,0,0,0,0,1,255,255,255,255,0,-1,0;
25:-529,421,28,430,0.000000,0,50,stone,0,0,0,0,1,21,255,255,255,0,-1,0;
26:-502,624,62,101,0.000000,0,50,sand,0,0,0,0,1,255,255,255,255,0,-1,0;
27:-327,620,25,21,-1.492255,1,50,stone,0,0,0,0,1,255,255,255,255,0,-1,0;
28:-314,621,278,20,0.000000,0,50,stone,0,0,0,0,1,255,255,255,255,0,-1,0;
29:-25,620,25,21,-1.492255,0,50,stone,0,0,0,0,1,255,255,255,255,0,-1,0;
30:-172,562,59,59,0.000000,0,50,crate,1,0,0,0,1,255,255,255,255,0,-1,0;
31:-113,562,59,59,0.000000,0,50,crate,1,0,0,0,1,255,255,255,255,0,-1,0;
32:-207,585,36,36,0.000000,0,50,crate,1,0,0,0,1,255,255,255,255,0,-1,0;
33:-227,600,21,21,0.000000,0,50,crate,1,0,0,0,1,255,255,255,255,0,-1,0;
34:-54,600,21,21,0.000000,0,50,crate,1,0,0,0,1,255,255,255,255,0,-1,0;
35:56,496,83,32,-1.178096,1,50,stone,0,0,0,0,1,255,255,0,0,0,-1,0;
36:-327,496,64,13,0.000000,0,34,wood,0,0,0,0,1,255,255,255,255,0,-1,0;
37:-253,496,64,13,0.000000,0,34,wood,0,0,0,0,1,255,255,255,255,0,-1,0;
38:-153,480,40,40,0.000000,0,50,sawblade,1,0,0,0,0,255,255,204,0,0,-1,0;
39:-136,444,5,58,0.000000,0,22,wood,0,0,0,0,0,255,255,255,255,0,-1,0;
40:-82,393,33,32,0.000000,0,50,crate,1,0,0,0,1,255,255,255,255,0,-1,0;
41:-280,408,30,30,0.000000,0,50,sawblade,1,0,0,0,0,255,255,204,0,0,-1,0;
42:-252,408,30,30,0.000000,0,50,sawblade,1,0,0,0,0,255,255,204,0,0,-1,0;
43:-223,408,30,30,0.000000,0,50,sawblade,1,0,0,0,0,255,255,204,0,0,-1,0;
44:-194,408,30,30,0.000000,0,50,sawblade,1,0,0,0,0,255,255,204,0,0,-1,0;
45:-164,408,30,30,0.000000,0,50,sawblade,1,0,0,0,0,255,255,204,0,0,-1,0;
46:-133,408,30,30,0.000000,0,50,sawblade,1,0,0,0,0,255,255,204,0,0,-1,0;
47:-103,403,39,40,0.000000,0,50,sawblade,1,0,0,0,0,255,255,204,0,0,-1,0;
48:-303,394,31,31,0.000000,0,50,crate,1,0,0,0,1,255,255,255,255,0,-1,0;
49:-298,269,278,20,0.000000,0,50,stone,0,0,0,0,1,255,255,255,255,0,-1,0;
50:-21,246,25,21,-1.492255,0,50,stone,0,0,0,0,1,255,255,255,255,0,-1,0;
51:-323,268,25,21,-1.492255,1,50,stone,0,0,0,0,1,255,255,255,255,0,-1,0;
52:-49,408,17,17,0.000000,0,50,crate,1,0,0,0,1,255,255,255,255,0,-1,0;
53:-486,420,5,204,0.000000,0,50,stone,0,0,0,0,0,255,255,255,255,0,-1,0;
54:-362,422,5,336,0.000000,0,50,stone,0,0,0,0,0,255,255,255,255,0,-1,0;
55:-493,416,144,16,0.000000,0,50,stone,0,0,0,0,1,255,255,255,255,0,-1,0;
56:-94,323,8,52,0.000000,0,23,cobble,0,0,0,0,1,255,255,255,255,0,-1,0;
57:-250,323,8,52,0.000000,0,23,cobble,0,0,0,0,1,255,255,255,255,0,-1,0;
58:-168,289,8,23,0.000000,0,23,cobble,0,0,0,0,0,255,255,255,255,0,-1,0;
59:-169,384,8,52,0.000000,0,23,cobble,0,0,0,0,1,255,255,255,255,0,-1,0;
60:-271,312,202,5,0.000000,0,22,wood,0,0,0,0,0,131,255,255,255,0,-1,0;
61:-272,352,202,5,0.000000,0,22,wood,0,0,0,0,0,131,255,255,255,0,-1,0;
62:-272,385,202,5,0.000000,0,22,wood,0,0,0,0,0,131,255,255,255,0,-1,0;
63:73,434,122,5,0.000000,0,22,wood,0,0,0,0,0,255,255,255,255,0,-1,0;
64:-376,681,45,50,0.000000,0,50,cactus,0,0,0,0,0,255,255,255,255,0,-1,0;
65:-290,341,25,25,0.000000,0,50,sawblade,1,0,0,0,0,255,255,204,0,0,-1,0;
66:-157,695,31,35,0.000000,0,50,cactus,1,0,0,0,0,255,255,255,255,0,-1,0;
67:-397,362,29,37,0.000000,0,50,Bcheck,0,2,0,0,0,0,255,255,255,0,-1,0;
68:-474,406,47,11,0.000000,0,26,wood,0,0,0,0,1,255,255,255,255,0,-1,0;
69:-493,213,18,203,0.000000,0,50,stone,0,0,0,0,1,255,255,255,255,0,-1,0;
70:-493,190,18,24,-1.570795,0,50,stone,0,0,0,0,1,255,255,255,255,0,-1,0;
71:-476,313,77,103,-1.570795,0,50,cobble,0,0,0,0,0,255,255,240,0,0,-1,0;
72:-399,361,33,35,0.000000,0,50,gem,1,0,0,0,0,255,91,255,255,0,-1,0;
