m:nice,-1,-5000,-5000,5000,5000,background,98,3.800000,60000,0;
p:-100,210,18,20;
1:-10,30,90,30,0.000000,0,30,tileRed,0,0,0,0,1,255,222,255,255,160,-1,0;
2:120,-70,30,150,0.000000,0,30,tileRed,0,0,0,0,1,255,255,255,255,160,-1,0;
3:-100,-65,30,150,0.000000,0,30,tileRed,0,0,0,0,1,255,255,255,255,160,-1,0;
4:-10,-40,90,30,0.000000,0,30,tileBlue,0,0,0,0,1,255,255,255,255,160,-1,0;
5:-10,-70,90,30,0.000000,0,30,tileGreen,0,0,0,0,1,255,222,255,255,160,-1,0;
6:-160,150,150,30,0.000000,0,30,tileBlue,0,0,0,0,1,255,255,255,255,160,-1,0;
7:250,180,270,30,0.000000,0,30,tileWhite,0,0,0,0,1,255,255,0,0,160,-1,0;
8:250,30,270,30,0.000000,0,30,tileWhite,0,0,0,0,1,255,123,0,255,160,-1,0;
9:-130,230,270,30,0.000000,0,30,floor,0,0,0,0,1,255,255,255,255,160,-1,0;
10:30,150,150,30,0.000000,0,30,tileBlue,0,0,0,0,1,255,255,255,255,160,-1,0;
l1:-100,55,30,30,180,0,122,255,255,0,0,-1,0,light2;
l2:120,50,30,30,180,0,198,255,255,0,0,-1,0,light2;
l3:120,-70,30,30,0,0,198,255,255,0,0,-1,0,light2;
l4:100,-80,60,180,180,0,122,255,255,0,0,-1,0,light3;
l5:-50,20,170,50,0,0,163,255,255,0,0,-1,0,light3;
l6:-100,-65,30,30,0,0,122,255,255,0,0,-1,0,light2;
l7:-40,-50,150,50,0,0,153,255,0,0,255,-1,0,light3;
l8:-124,-80,78,179,0,0,122,255,255,0,0,-1,0,light3;
l9:-40,-80,150,50,0,0,153,255,0,255,0,-1,0,light3;
l10:-160,100,150,80,180,0,112,255,0,0,255,-1,0,light2;
l11:-10,-20,90,80,180,0,117,255,255,0,0,-1,0,light2;
l12:-10,-40,90,80,0,0,117,255,0,0,255,-1,0,light2;
l13:-10,-120,90,80,180,0,117,255,0,255,0,-1,0,light2;
l14:250,30,270,180,180,0,112,255,247,10,0,-1,0,light2;
l15:250,30,270,180,0,0,112,255,149,0,255,-1,0,light2;
l16:-130,170,270,80,180,0,112,255,255,247,255,-1,0,light2;
l17:-130,249,270,80,0,0,112,255,255,247,255,-1,0,light2;
l18:30,100,150,80,180,0,112,255,0,0,255,-1,0,light2;
/
