m:level 2,-1,-10000,-10000,10000,10000;
p:0,0,18,18,20;
1:-21,42,195,36,0.000000,f,50,1,f,f,0;
2:-77,-120,59,197,0.000000,f,50,1,f,f,0;
3:340,-148,82,663,0.000000,t,50,1,f,f,0;
4:120,76,50,531,0.000000,f,50,1,f,f,0;
5:153,115,85,37,-0.390000,f,50,1,f,f,0;
6:305,152,38,44,0.290000,f,50,1,f,f,0;
7:119,234,71,76,-0.160000,f,50,1,f,f,0;
8:260,228,27,69,-0.140000,f,50,1,f,f,0;
9:289,354,58,37,0.450000,f,50,1,f,f,0;
10:164,386,82,41,-0.390000,f,50,1,f,f,0;
11:170,565,195,106,0.000000,f,50,1,f,f,0;
12:247,469,59,30,0.000000,f,50,1,f,f,0;
13:358,565,125,50,0.000000,f,50,1,f,f,0;
14:233,232,27,65,-0.090000,t,50,1,f,f,0;
15:163,516,165,98,-0.520000,f,50,1,f,f,0;
16:420,444,270,59,0.000000,f,50,1,f,f,0;
17:479,565,101,86,-0.540000,f,50,1,f,f,0;
18:577,556,123,94,-0.530000,t,50,1,f,f,0;
19:679,476,78,170,0.000000,f,50,1,f,f,0;
20:550,559,60,16,0.000000,f,50,6,f,f,2;
/
