m:stairs,-1,-5000,-5000,5000,5000,background,255,3.800000,60000,0;
p:0,0,18,20;
1:-20,30,375,17,0.000000,0,30,stone,0,0,0,0,1,255,255,255,255,0,-1,0,0,0,0,0,0;
2:120,25,10,25,0.000000,0,30,None,0,0,0,0,1,255,255,255,255,0,-1,0,0,0,0,0,0;
3:130,20,10,25,0.000000,0,30,None,0,0,0,0,1,255,255,255,255,0,-1,0,0,0,0,0,0;
4:140,15,10,25,0.000000,0,30,None,0,0,0,0,1,255,255,255,255,0,-1,0,0,0,0,0,0;
5:150,10,10,30,0.000000,0,30,None,0,0,0,0,1,255,255,255,255,0,-1,0,0,0,0,0,0;
6:160,5,10,30,0.000000,0,30,None,0,0,0,0,1,255,255,255,255,0,-1,0,0,0,0,0,0;
7:170,0,10,40,0.000000,0,30,None,0,0,0,0,1,255,255,255,255,0,-1,0,0,0,0,0,0;
8:180,-5,10,40,0.000000,0,30,None,0,0,0,0,1,255,255,255,255,0,-1,0,0,0,0,0,0;
9:190,-10,10,40,0.000000,0,30,None,0,0,0,0,1,255,255,255,255,0,-1,0,0,0,0,0,0;
10:200,-15,10,55,0.000000,0,30,None,0,0,0,0,1,255,255,255,255,0,-1,0,0,0,0,0,0;
11:210,-20,10,55,0.000000,0,30,None,0,0,0,0,1,255,255,255,255,0,-1,0,0,0,0,0,0;
12:220,-25,10,55,0.000000,0,30,None,0,0,0,0,1,255,255,255,255,0,-1,0,0,0,0,0,0;
13:230,-30,10,60,0.000000,0,30,None,0,0,0,0,1,255,255,255,255,0,-1,0,0,0,0,0,0;
/
