m:level 3,-1,-10000,-10000,10000,10000;
p:0,0,18,18,20;
1:-4,27,26,183,0.000000,f,50,1,f,f,0;
2:111,31,18,182,0.000000,f,50,1,f,f,0;
3:215,32,16,177,0.000000,f,50,1,f,f,0;
4:328,90,144,263,0.000000,f,50,1,f,f,0;
5:335,22,138,205,0.000000,f,50,1,f,f,0;
6:321,-219,232,160,0.000000,f,50,1,f,f,0;
7:526,3,143,115,0.000000,f,50,1,f,f,0;
8:530,-155,1111,101,0.000000,f,50,1,f,f,0;
9:666,2,101,126,-0.420000,f,50,1,f,f,0;
10:468,206,237,162,0.190000,f,50,1,f,f,0;
11:752,175,90,15,0.000000,f,50,1,f,f,0;
12:829,51,16,10,0.000000,f,50,1,f,f,0;
13:944,50,13,12,0.000000,f,50,1,f,f,0;
14:1034,43,14,37,0.000000,f,50,1,f,f,0;
15:1094,18,231,106,-0.220000,t,50,1,f,f,0;
16:902,177,100,33,-1.570795,f,50,1,f,f,0;
17:1052,215,237,81,0.000000,f,50,1,f,f,0;
18:1106,286,149,87,0.000000,f,50,1,f,f,0;
19:653,215,67,170,0.000000,f,50,1,f,f,0;
20:1315,198,211,136,0.370000,f,50,1,f,f,0;
21:1320,18,187,73,0.000000,f,50,1,f,f,0;
22:1490,2,42,82,0.000000,f,50,1,f,f,0;
23:1523,142,25,25,0.000000,f,50,1,f,f,0;
24:1527,44,25,59,0.000000,f,50,1,f,f,0;
25:1546,151,93,131,0.620000,f,50,1,f,f,0;
26:1691,67,72,25,0.000000,f,50,6,f,f,2;
27:1596,-210,243,128,0.000000,f,50,1,f,f,0;
/
