m:level,-1,-10000,-10000,10000,10000,2;
p:0,0,18,18,20;
0:-131,145,87,180,0.490000,t,50,1,f,0;
1:-8,25,187,55,0.000000,f,50,1,f,0;
2:444,-69,61,28,0.000000,f,50,7,f,2;
3:-260,67,48,20,0.000000,f,50,6,f,0;
4:96,-129,26,114,0.000000,f,50,1,f,0;
5:158,-66,25,92,0.000000,f,50,1,f,0;
6:181,-65,187,38,1.100000,f,50,1,f,0;
7:301,81,61,28,0.000000,f,50,7,f,2;
8:359,-56,271,32,0.000000,f,50,1,f,0;
9:589,35,89,20,0.000000,f,50,1,f,0;
10:444,35,89,20,0.000000,f,50,1,f,0;
11:48,134,89,20,0.000000,f,50,1,f,0;
12:-131,145,87,180,0.490000,t,50,1,f,0;
/
